Order,Country,Number of new projects,Newly registered capital (million USD),Adjusted project number,Adjusted capital (million USD),Number of times of capital contribution to buy shares,"Value of capital contribution, share purchase (million USD)",Year,Total number of projects,Total registered capital (million USD),Total investment (million USD)
1,Korea,702,2678.517,260,4048.4,0,0.0,2015,962,6726.9169999999995,6726.9169999999995
2,Malaysia,27,2447.488,15,30.8,0,0.0,2015,42,2478.288,2478.288
3,Japan,299,1284.983,157,556.7,0,0.0,2015,456,1841.683,1841.683
4,Taiwan,110,940.404,61,457.9,0,0.0,2015,171,1398.304,1398.304
5,Samoa,24,1314.037,8,80.6,0,0.0,2015,32,1394.637,1394.637
6,United Kingdom,30,1265.681,5,5.1,0,0.0,2015,35,1270.781,1270.781
7,Singapore,130,1035.007,62,196.3,0,0.0,2015,192,1231.307,1231.307
8,BritishVirginIslands,52,697.815,29,521.4,0,0.0,2015,81,1219.2150000000001,1219.2150000000001
9,Hongkong,89,629.499,46,566.7,0,0.0,2015,135,1196.199,1196.199
10,China,169,665.519,31,69.3,0,0.0,2015,200,734.819,734.819
11,Turkey,2,660.25,0,0.0,0,0.0,2015,2,660.25,660.25
12,Neitherland,24,279.336,12,54.7,0,0.0,2015,36,334.036,334.036
13,Seychelles,17,273.176,6,16.0,0,0.0,2015,23,289.176,289.176
14,Thailand,30,111.132,23,151.3,0,0.0,2015,53,262.432,262.432
15,Cayman Islands,6,246.717,3,11.6,0,0.0,2015,9,258.317,258.317
16,The United States of America,54,217.934,20,9.8,0,0.0,2015,74,227.734,227.734
17,Australia,35,47.071,12,154.1,0,0.0,2015,47,201.171,201.171
18,British West Indies,4,152.0,1,4.0,0,0.0,2015,5,156.0,156.0
19,Brunei Darussalam,18,100.858,10,50.7,0,0.0,2015,28,151.558,151.558
20,India,23,138.991,2,0.0,0,0.0,2015,25,138.991,138.991
21,Switzerland,9,75.206,3,27.0,0,0.0,2015,12,102.206,102.206
22,France,27,84.07,13,14.0,0,0.0,2015,40,98.07,98.07
23,Denmark,6,10.97,6,64.9,0,0.0,2015,12,75.87,75.87
24,Germany,18,46.842,9,27.4,0,0.0,2015,27,74.24199999999999,74.24199999999999
25,Sri Lanka,4,59.13,0,0.0,0,0.0,2015,4,59.13,59.13
26,Luxembourg,6,7.229,3,20.3,0,0.0,2015,9,27.529,27.529
27,Indonesia,5,11.637,2,10.0,0,0.0,2015,7,21.637,21.637
28,Israel,2,16.35,1,2.0,0,0.0,2015,3,18.35,18.35
29,Italia,7,11.51,5,3.7,0,0.0,2015,12,15.21,15.21
30,Russia,10,12.049,0,0.0,0,0.0,2015,10,12.049,12.049
31,Angola,2,11.68,0,0.0,0,0.0,2015,2,11.68,11.68
32,New Zealand,0,0.0,1,11.0,0,0.0,2015,1,11.0,11.0
33,Republic of Cyprus,0,0.0,1,6.4,0,0.0,2015,1,6.4,6.4
34,Canada,10,6.961,2,-0.9,0,0.0,2015,12,6.061,6.061
35,Philippines,4,5.45,0,0.0,0,0.0,2015,4,5.45,5.45
36,Marshall Islands,1,5.0,0,0.0,0,0.0,2015,1,5.0,5.0
37,Belize,0,0.0,1,5.0,0,0.0,2015,1,5.0,5.0
38,Ireland,5,4.82,0,0.0,0,0.0,2015,5,4.82,4.82
39,Burkina Faso,1,3.0,0,0.0,0,0.0,2015,1,3.0,3.0
40,Spain,10,2.619,0,0.0,0,0.0,2015,10,2.619,2.619
41,Laos,2,2.5,0,0.0,0,0.0,2015,2,2.5,2.5
42,Belgium,4,1.298,2,1.1,0,0.0,2015,6,2.398,2.398
43,Norway,2,0.117,1,2.0,0,0.0,2015,3,2.117,2.117
44,Austria,3,2.114,0,0.0,0,0.0,2015,3,2.114,2.114
45,Macao,1,2.0,0,0.0,0,0.0,2015,1,2.0,2.0
46,Island of Nevis,1,1.5,0,0.0,0,0.0,2015,1,1.5,1.5
47,United Arab Emirates,3,1.25,0,0.0,0,0.0,2015,3,1.25,1.25
48,Guatemala,1,1.2,0,0.0,0,0.0,2015,1,1.2,1.2
49,Jordan,2,1.05,0,0.0,0,0.0,2015,2,1.05,1.05
50,Saudi Arabia,1,1.0,0,0.0,0,0.0,2015,1,1.0,1.0
51,Ukraina,4,0.7,0,0.0,0,0.0,2015,4,0.7,0.7
52,Mongolia,1,0.5,0,0.0,0,0.0,2015,1,0.5,0.5
53,Sweden,4,0.464,0,0.0,0,0.0,2015,4,0.464,0.464
54,Poland,4,0.415,0,0.0,0,0.0,2015,4,0.415,0.415
55,Nepal,0,0.0,1,0.4,0,0.0,2015,1,0.4,0.4
56,Czech Republic,1,0.375,0,0.0,0,0.0,2015,1,0.375,0.375
57,Hungary,2,0.055,0,0.0,0,0.0,2015,2,0.055,0.055
58,Pakistan,1,0.05,0,0.0,0,0.0,2015,1,0.05,0.05
59,Iran (Islamic Republic of),1,0.03,0,0.0,0,0.0,2015,1,0.03,0.03
60,Poland,1,0.02,0,0.0,0,0.0,2015,1,0.02,0.02
61,Slovenia,1,0.02,0,0.0,0,0.0,2015,1,0.02,0.02
62,Venezuela,1,0.007,0,0.0,0,0.0,2015,1,0.007,0.007
63,Korea,828,5518.61,411,617.79,644,899.9,2016,1239,6136.4,7036.299999999999
64,Japan,341,868.09,219,1288.08,276,433.68,2016,560,2156.17,2589.85
65,Singapore,210,1590.5,92,571.39,161,257.2,2016,302,2161.89,2419.0899999999997
66,China,278,1263.22,74,441.15,319,170.85,2016,352,1704.37,1875.2199999999998
67,Taiwan,122,826.02,94,501.12,193,533.02,2016,216,1327.1399999999999,1860.1599999999999
68,Hongkong,166,1102.71,58,496.83,25,40.61,2016,224,1599.54,1640.1499999999999
69,Malaysia,40,532.85,26,154.89,96,226.29,2016,66,687.74,914.03
70,BritishVirginIslands,48,440.38,38,382.54,5,35.32,2016,86,822.9200000000001,858.2400000000001
71,Thailand,35,432.56,17,51.35,60,222.59,2016,52,483.91,706.5
72,Cayman Islands,8,633.61,2,11.14,0,0.0,2016,10,644.75,644.75
73,Samoa,26,376.65,26,151.12,0,0.0,2016,52,527.77,527.77
74,Australia,42,194.98,11,128.05,62,124.59,2016,53,323.03,447.62
75,The United States of America,64,197.2,21,98.68,132,104.52,2016,85,295.88,400.4
76,Brunei Darussalam,18,188.15,19,126.05,0,0.0,2016,37,314.2,314.2
77,Luxembourg,0,0.0,6,298.15,2,4.81,2016,6,298.15,302.96
78,Seychelles,38,229.53,12,54.33,0,0.0,2016,50,283.86,283.86
79,United Kingdom,46,164.48,9,33.25,32,22.55,2016,55,197.73,220.28
80,France,39,125.91,9,17.13,69,55.28,2016,48,143.04,198.32
81,India,19,88.85,4,9.14,42,4.7,2016,23,97.99,102.69
82,Neitherland,16,38.37,15,16.17,30,32.11,2016,31,54.54,86.65
83,Canada,15,38.54,3,7.66,32,21.53,2016,18,46.2,67.73
84,British West Indies,4,61.2,1,2.0,1,0.02,2016,5,63.2,63.220000000000006
85,Russia,16,46.99,0,0.0,39,9.78,2016,16,46.99,56.77
86,Philippines,2,10.05,1,4.9,12,39.72,2016,3,14.950000000000001,54.67
87,Switzerland,8,5.6,6,32.76,13,16.04,2016,14,38.36,54.4
88,Denmark,8,3.46,4,37.41,17,10.9,2016,12,40.87,51.769999999999996
89,Bermuda,1,20.55,1,30.0,0,0.0,2016,2,50.55,50.55
90,Germany,21,15.39,8,20.22,41,9.3,2016,29,35.61,44.91
91,Macao,2,3.8,3,38.94,0,0.0,2016,5,42.739999999999995,42.739999999999995
92,Marshall Islands,1,40.0,0,0.0,0,0.0,2016,1,40.0,40.0
93,Italia,11,18.21,2,19.1,12,1.29,2016,13,37.31,38.6
94,Austria,4,1.57,1,16.0,7,17.0,2016,5,17.57,34.57
95,Ukraina,2,0.59,0,0.0,9,28.62,2016,2,0.59,29.21
96,Poland,3,26.36,0,0.0,4,0.17,2016,3,26.36,26.53
97,Belize,2,6.5,3,20.0,0,0.0,2016,5,26.5,26.5
98,Indonesia,8,6.72,3,14.86,14,2.33,2016,11,21.58,23.909999999999997
99,Pakistan,1,0.03,1,21.0,18,1.0,2016,2,21.03,22.03
100,Kazakhstan,0,0.0,0,0.0,2,21.19,2016,0,0.0,21.19
101,New Zealand,1,0.15,4,2.6,11,15.8,2016,5,2.75,18.55
102,Spain,6,0.55,2,0.93,7,16.14,2016,8,1.48,17.62
103,Belarus,1,16.2,0,0.0,2,0.1,2016,1,16.2,16.3
104,Cambodia,5,3.5,0,0.0,3,12.02,2016,5,3.5,15.52
105,Mauritius,1,0.5,4,14.14,0,0.0,2016,5,14.64,14.64
106,Laos,1,9.0,0,0.0,1,4.85,2016,1,9.0,13.85
107,Ireland,0,0.0,1,12.5,2,0.03,2016,1,12.5,12.53
108,Angola,1,6.66,1,5.0,0,0.0,2016,2,11.66,11.66
109,Panama,1,9.0,1,2.0,0,0.0,2016,2,11.0,11.0
